日期,代码,名称,类型,conf,5根,10根,20根,40根,净收益(扣成本),止损后净收益
2022-10-31,000778,新兴铸管,Spring,90,5.75%,7.18%,10.34%,4.89%,9.54%,9.54%
2022-11-01,600273,嘉化能源,Spring,94,3.29%,4.11%,2.94%,-1.18%,2.14%,2.14%
2022-11-01,002379,宏桥控股,Spring,93,10.23%,9.46%,6.91%,7.93%,6.11%,6.11%
2022-11-10,603826,坤彩科技,Spring,97,16.30%,23.53%,20.46%,8.32%,19.66%,19.66%
2022-11-28,601012,隆基绿能,Spring,95,3.97%,2.02%,-5.81%,7.98%,-6.61%,-6.61%
2022-11-28,600882,妙可蓝多,Spring,94,21.81%,19.89%,19.51%,26.64%,18.71%,18.71%
2022-11-28,603288,sh603288,ST,94,9.00%,13.62%,13.32%,13.04%,12.52%,12.52%
2022-12-22,000582,北部湾港,Spring,96,0.41%,0.97%,3.32%,5.95%,2.52%,2.52%
2022-12-23,002249,大洋电机,Spring,97,1.99%,6.18%,9.96%,9.76%,9.16%,9.16%
2022-12-23,002545,东方铁塔,Spring,97,-0.12%,7.83%,10.24%,10.96%,9.44%,9.44%
2022-12-23,002151,北斗星通,Spring,94,1.34%,3.43%,8.08%,20.32%,7.28%,7.28%
2022-12-23,002488,金固股份,Spring,94,0.83%,5.34%,11.69%,23.37%,10.89%,10.89%
2022-12-23,600273,嘉化能源,Spring,94,0.72%,1.81%,3.61%,6.26%,2.81%,2.81%
2022-12-23,000935,四川双马,Spring,93,1.45%,7.58%,15.46%,13.53%,14.66%,14.66%
2022-12-23,000534,万泽股份,Spring,92,3.98%,6.64%,20.94%,37.68%,20.14%,20.14%
2022-12-23,002261,拓维信息,Spring,92,3.76%,10.80%,10.80%,69.48%,10.00%,10.00%
2022-12-26,601012,隆基绿能,Spring,99,0.07%,1.36%,14.64%,5.33%,13.84%,13.84%
2022-12-27,600557,康缘药业,Spring,93,15.03%,17.17%,27.82%,49.65%,27.02%,27.02%
2022-12-27,605266,健之佳,Spring,93,25.92%,22.88%,13.79%,15.47%,12.99%,12.99%
2022-12-29,000550,江铃汽车,Spring,97,6.98%,9.40%,14.63%,15.69%,13.83%,13.83%
2022-12-29,603300,海南华铁,Spring,97,1.91%,5.10%,19.75%,35.83%,18.95%,18.95%
2022-12-29,600178,东安动力,Spring,96,5.06%,5.06%,14.33%,16.53%,13.53%,13.53%
2022-12-29,000528,柳    工,Spring,94,2.57%,2.74%,6.16%,18.49%,5.36%,5.36%
2022-12-29,000828,东莞控股,Spring,94,1.23%,1.57%,6.06%,12.01%,5.26%,5.26%
2022-12-30,603299,苏盐井神,Spring,93,4.31%,5.32%,9.73%,11.23%,8.93%,8.93%
2023-01-03,000686,东北证券,Spring,90,1.54%,7.56%,5.25%,3.86%,4.45%,4.45%
2023-01-04,002903,宇环数控,Spring,93,0.10%,-0.64%,21.62%,23.00%,20.82%,20.82%
2023-01-12,002481,双塔食品,Spring,94,1.41%,8.98%,10.92%,1.06%,10.12%,10.12%
2023-01-12,000544,中原环保,Spring,92,2.42%,6.94%,7.74%,6.45%,6.94%,6.94%
2023-01-18,600300,维维股份,Spring,92,3.02%,0.60%,4.53%,-2.11%,3.73%,3.73%
2023-02-01,000860,顺鑫农业,Spring,93,1.43%,9.13%,24.30%,24.08%,23.50%,23.50%
2023-02-01,600258,首旅酒店,Shakeout,90,-0.77%,7.69%,5.41%,-0.17%,4.61%,4.61%
2023-02-16,002311,海大集团,Shakeout,96,3.03%,6.46%,4.19%,-6.80%,3.39%,3.39%
2023-02-16,600397,江钨装备,Shakeout,92,5.84%,4.87%,-1.30%,-8.77%,-2.10%,-2.10%
2023-02-20,600435,北方导航,Spring,90,9.93%,6.30%,-1.55%,-5.18%,-2.35%,-2.35%
2023-03-02,002640,跨境通,Spring,90,4.98%,-1.95%,2.81%,-10.82%,2.01%,2.01%
2023-03-14,002249,大洋电机,Shakeout,96,2.92%,2.14%,0.78%,4.67%,-0.02%,-0.02%
2023-03-14,600299,安迪苏,Spring,94,2.09%,4.52%,7.77%,-4.87%,6.97%,6.97%
2023-03-14,601218,吉鑫科技,Shakeout,93,1.50%,1.00%,-1.00%,-1.75%,-1.80%,-1.80%
2023-03-20,601012,隆基绿能,Spring,97,2.75%,3.62%,2.04%,-15.94%,1.24%,1.24%
2023-03-21,600258,首旅酒店,Spring,93,-0.09%,5.14%,0.87%,-12.24%,0.07%,0.07%
2023-03-27,000528,柳    工,Spring,96,3.99%,1.84%,7.36%,12.27%,6.56%,6.56%
